THREAD_ID,QUERY_TIME,SQL_TEXT,DATABASE,ROWS_AFFECTED,ROWS_SENT,ROWS_EXAMINED
1131,0.068993,set autocommit=0,arsal_db,0,0,0
1133,0.251682,SELECT * FROM products WHERE name LIKE '%' -- %',arsal_db,0,7,7
1133,0.251682,SELECT * FROM products WHERE name LIKE '%' -- %',arsal_db,0,7,7
1127,2.265903,"SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2025-02-23 20:31:19.056614' AND `django_session`.`session_key` = 'ppo3r6u8onxnt1xjutad9lnajr7aheif') LIMIT 21",arsal_db,0,0,0
1133,0.195038,SELECT THREAD_ID FROM performance_schema.threads WHERE PROCESSLIST_ID = CONNECTION_ID`(),arsal_db,0,1,1
1133,0.251682,SELECT * FROM products WHERE name LIKE '%' -- %',arsal_db,0,7,7
1135,0.119523,set autocommit=0,arsal_db,0,0,0
1133,0.251682,SELECT * FROM products WHERE name LIKE '%' -- %',arsal_db,0,7,7
1127,2.265903,"SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2025-02-23 20:31:19.056614' AND `django_session`.`session_key` = 'ppo3r6u8onxnt1xjutad9lnajr7aheif') LIMIT 21",arsal_db,0,0,0
1127,2.265903,"SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2025-02-23 20:31:19.056614' AND `django_session`.`session_key` = 'ppo3r6u8onxnt1xjutad9lnajr7aheif') LIMIT 21",arsal_db,0,0,01133,0.251682,SELECT * FROM products WHERE name LIKE '%' -- %',arsal_db,0,7,7
1133,0.251682,SELECT * FROM products WHERE name LIKE '%' -- %',arsal_db,0,7,7
1127,2.265903,"SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2025-02-23 20:31:19.056614' AND `django_session`.`session_key` = 'ppo3r6u8onxnt1xjutad9lnajr7aheif') LIMIT 21",arsal_db,0,0,0
1129,0.332797,SELECT THREAD_ID FROM performance_schema.threads WHERE PROCESSLIST_ID = CONNECTION_ID(),arsal_db,0,1,1
1127,0.083515,SELECT * FROM products WHERE name LIKE '%' OR 1=1 --%',arsal_db,0,0,0
